,Unnamed: 0,smiles,molwt,ccount,fcount,clcount,brcount
159,159,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,262.040404204,7,9,0,0
160,160,CCCCCCC(Cl)(Cl)Cl,202.008283456,7,0,3,0
161,161,CCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,576.036892908,14,21,0,0
162,162,CCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,454.077773716,13,15,0,0
163,163,CC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1622.4718799959996,10,0,0,19
164,164,CCCCCCCC(F)(F)C(F)(F)F,218.10939158,9,5,0,0
165,165,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,437.97125796,8,18,0,0
166,166,CCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,418.09661734,13,13,0,0
167,167,CCCCCCCCCCC(Cl)(Cl)C(Cl)(Cl)Cl,340.008589072,12,0,5,0
168,168,CCCCCC(F)(F)C(F)(F)C(F)(F)F,240.074897892,8,7,0,0
169,169,CCCCCCCCCCCC(Cl)(Cl)Cl,272.086533776,12,0,3,0
170,170,CCCCCCCCC(F)(F)F,182.128235204,9,3,0,0
171,171,CCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1976.1608784599991,13,0,0,23
172,172,CCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,1310.8298317239999,10,0,0,15
173,173,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,598.00239922,13,23,0,0
174,174,CCCCCCCCCCCC(F)(F)F,224.175185396,12,3,0,0
175,175,CCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)F,310.153148212,13,7,0,0
176,176,CCCCCCCCCCCC(Cl)(Cl)C(Cl)(Cl)Cl,354.024239136,13,0,5,0
177,177,CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,432.112267404,14,13,0,0
178,178,CCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,562.021242844,13,21,0,0
179,179,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,337.97764508,6,14,0,0
180,180,CCCCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,843.3667593160002,10,0,0,9
181,181,CCCCCCCC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,543.7747549599999,12,0,11,0
182,182,CCCCCCCCCCCCCC(Cl)(Cl)Cl,300.117833904,14,0,3,0
183,183,CC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,2301.818576795999,14,0,0,27
184,184,CCCCCCCCCC(Cl)(Cl)Cl,244.05523364799998,10,0,3,0
185,185,CCCCC(Br)(Br)C(Br)(Br)C(Br)(Br)C(Br)(Br)Br,815.3354591880002,8,0,0,9
186,186,CCCCCCCCCCC(Br)(Br)Br,389.919336972,11,0,0,3
187,187,ClC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl,971.2524643200006,11,0,24,0
188,188,CCCCCCCC(Cl)(Cl)Cl,216.02393351999999,8,0,3,0
